date,close,close_raw,open,high,low,tvol,tamt,sign
2008-04-22,13.7751,555.0,13.3425,13.9198,13.3423,7941760.0,4407680000.0,2
2008-04-23,13.5639,546.49,13.8481,13.8821,13.4264,4923070.0,2690410000.0,5
2008-04-24,13.4783,543.04,13.683,13.7625,13.4033,4138700.0,2247480000.0,5
2008-04-25,13.5036,544.06,13.6267,13.7255,13.4706,4166070.0,2266590000.0,2
2008-04-28,13.7037,552.12,13.5488,13.8201,13.378,4010060.0,2214040000.0,2
2008-04-29,13.8613,558.47,13.6716,13.9836,13.6513,4346440.0,2427350000.0,2
2008-04-30,14.2539,574.29,13.9541,14.5163,13.8613,7904540.0,4539500000.0,2
2008-05-01,14.7203,593.08,14.3537,14.7662,14.3205,6605850.0,3917800000.0,2
2008-05-02,14.4277,581.29,14.8546,14.9528,14.3783,7000260.0,4069180000.0,5
2008-05-05,14.7655,594.9,14.8637,14.8672,14.5726,6288300.0,3740910000.0,2
2008-05-06,14.5535,586.36,14.6687,14.6935,14.4701,4632220.0,2716150000.0,5
2008-05-07,14.3708,579.0,14.6505,14.8794,14.307,6613900.0,3829450000.0,5
2008-05-08,14.4703,583.01,14.5495,14.6265,14.3686,5123410.0,2987000000.0,2
2008-05-09,14.2269,573.2,14.3708,14.5197,14.1797,4485230.0,2570930000.0,5
2008-05-12,14.5182,584.94,14.2653,14.5632,14.1204,4865400.0,2845970000.0,2
2008-05-13,14.4701,583.0,14.5503,14.593,14.3596,5165160.0,3011290000.0,5
2008-05-14,14.3038,576.3,14.5567,14.6734,14.2777,4379070.0,2523660000.0,5
2008-05-15,14.4205,581.0,14.3708,14.4689,14.2867,4343920.0,2523820000.0,2
2008-05-16,14.3974,580.07,14.4311,14.5118,14.3539,4275270.0,2479960000.0,5
2008-05-19,14.3341,577.52,14.3596,14.616,14.2348,5604810.0,3236890000.0,5
2008-05-20,14.3609,578.6,14.2624,14.4572,14.2197,3313950.0,1917450000.0,2
2008-05-21,13.6508,549.99,14.3589,14.4306,13.5987,6470190.0,3558540000.0,5
2008-05-22,13.6376,549.46,13.6994,13.7555,13.409,5077250.0,2789750000.0,5
2008-05-23,13.5175,544.62,13.5756,13.7255,13.3485,4435320.0,2415570000.0,5
2008-05-27,13.9216,560.9,13.5259,13.9638,13.4984,3868080.0,2169610000.0,2
2008-05-28,14.1037,568.24,14.0963,14.1844,13.9265,4053150.0,2303160000.0,2
2008-05-29,14.4701,583.0,14.2663,14.5416,14.2269,4846920.0,2825750000.0,2
2008-05-30,14.5396,585.8,14.4818,14.6418,14.4279,3227390.0,1890600000.0,2
2008-06-02,14.2715,575.0,14.4577,14.4922,14.179,3674670.0,2112940000.0,5
2008-06-03,14.0804,567.3,14.3088,14.408,13.9144,4335870.0,2459740000.0,5
2008-06-04,14.2025,572.22,14.0315,14.346,14.0122,3363940.0,1924920000.0,2
2008-06-05,14.552,586.3,14.3232,14.5952,14.3016,3921520.0,2299190000.0,2
2008-06-06,14.073,567.0,14.3894,14.4135,14.073,4735140.0,2684820000.0,5
2008-06-09,13.8464,557.87,14.0993,14.1474,13.5369,5288500.0,2950300000.0,5
2008-06-10,13.7545,554.17,13.6401,13.8699,13.5711,3658060.0,2027190000.0,5
2008-06-11,13.5319,545.2,13.8059,13.8332,13.5135,3813040.0,2078870000.0,5
2008-06-12,13.7243,552.95,13.6203,13.8496,13.5736,5496580.0,3039330000.0,2
2008-06-13,14.1849,571.51,13.9362,14.2889,13.9324,6184720.0,3534630000.0,2
2008-06-16,14.2172,572.81,14.0606,14.3733,14.0606,3544070.0,2030080000.0,2
2008-06-17,14.134,569.46,14.305,14.3477,14.1072,3463540.0,1972350000.0,5
2008-06-18,13.9583,562.38,14.0112,14.1224,13.8784,3388110.0,1905410000.0,5
2008-06-19,13.9042,560.2,13.7838,13.9931,13.6711,5683300.0,3183790000.0,5
2008-06-20,13.5624,546.43,13.8243,13.8243,13.5148,5984300.0,3270000000.0,5
2008-06-23,13.5321,545.21,13.5359,13.7292,13.453,3636930.0,1982890000.0,5
2008-06-24,13.4599,542.3,13.5304,13.6806,13.2812,4672590.0,2533950000.0,5
2008-06-25,13.6759,551.0,13.5262,13.8446,13.4939,4126220.0,2273550000.0,2
2008-06-26,13.1253,528.82,13.5046,13.5252,13.1114,5660280.0,2993270000.0,5
2008-06-27,13.1067,528.07,13.097,13.1546,12.7846,5447420.0,2876620000.0,5
2008-06-30,13.0658,526.42,13.2159,13.3532,12.9824,3765740.0,1982360000.0,5
2008-07-01,13.272,534.73,12.896,13.3214,12.832,4961190.0,2652890000.0,2
2008-07-02,13.0812,527.04,13.3162,13.4123,13.0568,4225480.0,2227000000.0,5
2008-07-03,13.3284,537.0,13.1765,13.3837,13.0926,2400690.0,1289170000.0,2
2008-07-07,13.4999,543.91,13.4599,13.6262,13.2936,4260080.0,2317100000.0,2
2008-07-08,13.7635,554.53,13.5515,13.7798,13.4028,4933330.0,2735680000.0,2
2008-07-09,13.4413,541.55,13.6699,13.792,13.421,4154090.0,2249650000.0,5
2008-07-10,13.417,540.57,13.5269,13.6386,13.1725,4332160.0,2341840000.0,5
2008-07-11,13.2489,533.8,13.316,13.3904,12.8923,4981840.0,2659300000.0,5
2008-07-14,12.9466,521.62,13.378,13.4044,12.7935,4425060.0,2308200000.0,5
2008-07-15,12.8094,516.09,12.8141,13.0926,12.4373,6071960.0,3133680000.0,5
2008-07-16,13.2936,535.6,12.7585,13.316,12.6731,4744700.0,2541260000.0,2
2008-07-17,13.24,533.44,13.2579,13.3296,13.0181,8796470.0,4692390000.0,5
2008-07-18,11.9464,481.32,12.3691,12.3847,11.8687,11297100.0,5437500000.0,5
2008-07-21,11.6356,468.8,11.9355,12.0151,11.5587,5910400.0,2770800000.0,5
2008-07-22,11.8419,477.11,11.584,11.9198,11.5562,4694230.0,2239660000.0,2
2008-07-23,12.1425,489.22,11.9536,12.3413,11.8665,4898470.0,2396430000.0,2
2008-07-24,11.8049,475.62,12.3281,12.3323,11.8049,3544130.0,1685660000.0,5
2008-07-25,12.211,491.98,12.0747,12.2396,11.9509,3184620.0,1566770000.0,2
2008-07-28,11.8421,477.12,12.2137,12.2137,11.7928,3164210.0,1509710000.0,5
2008-07-29,11.9908,483.11,11.8963,12.0938,11.864,2803360.0,1354330000.0,2
2008-07-30,11.9806,482.7,12.0501,12.063,11.7352,3491980.0,1685580000.0,5
2008-07-31,11.7585,473.75,11.7786,11.9357,11.7012,2865040.0,1357310000.0,5
2008-08-01,11.6123,467.86,11.7277,11.7453,11.4793,3008480.0,1407550000.0,5
2008-08-04,11.4917,463.0,11.6187,11.7401,11.4644,2486960.0,1151460000.0,5
2008-08-05,11.9099,479.85,11.6056,11.9156,11.5743,3584520.0,1720030000.0,2
2008-08-06,12.071,486.34,11.8732,12.1561,11.7277,3375880.0,1641830000.0,2
2008-08-07,11.8918,479.12,11.9633,12.0129,11.8245,2773730.0,1328950000.0,5
2008-08-08,12.2862,495.01,11.9174,12.3045,11.8067,3739460.0,1851070000.0,2
2008-08-11,12.4309,500.84,12.2231,12.6304,12.206,4241370.0,2124250000.0,2
2008-08-12,12.4748,502.61,12.4597,12.5622,12.3604,2755770.0,1385080000.0,2
2008-08-13,12.4108,500.03,12.4497,12.4979,12.2581,3626050.0,1813130000.0,5
2008-08-14,12.5463,505.49,12.3529,12.5989,12.3179,2918940.0,1475500000.0,2
2008-08-15,12.662,510.15,12.5835,12.6746,12.5465,3545610.0,1808800000.0,2
2008-08-18,12.3678,498.3,12.6543,12.6582,12.2986,3336320.0,1662490000.0,5
2008-08-19,12.1742,490.5,12.1725,12.3673,12.0782,3046670.0,1494390000.0,5
2008-08-20,12.0377,485.0,12.279,12.3279,11.9774,3984520.0,1932490000.0,5
2008-08-21,12.0757,486.53,11.9861,12.1593,11.8955,3514190.0,1709760000.0,2
2008-08-22,12.1765,490.59,12.1991,12.2829,12.1489,2297250.0,1127010000.0,2
2008-08-25,11.9883,483.01,12.0653,12.3356,11.9509,2015250.0,973387000.0,5
2008-08-26,11.7687,474.16,11.9995,11.9995,11.6801,3308530.0,1568770000.0,5
2008-08-27,11.6302,468.58,11.758,11.7853,11.5374,4388650.0,2056430000.0,5
2008-08-28,11.7592,473.78,11.7272,11.8255,11.6736,3029760.0,1435440000.0,2
2008-08-29,11.4989,463.29,11.6592,11.6905,11.4751,3848300.0,1782880000.0,5
2008-09-02,11.5475,465.25,11.8335,11.9677,11.4525,6120700.0,2847650000.0,2
2008-09-03,11.5267,464.41,11.6339,11.7719,11.4068,4315460.0,2004140000.0,5
2008-09-04,11.1755,450.26,11.4172,11.4976,11.1541,4886660.0,2200270000.0,5
2008-09-05,11.0263,444.25,11.0571,11.23,10.9228,4538380.0,2016170000.0,5
2008-09-08,10.4232,419.95,11.2192,11.242,10.3636,9021500.0,3788580000.0,5
2008-09-09,10.3912,418.66,10.5031,10.7317,10.3003,7231440.0,3027520000.0,5
2008-09-10,10.2795,414.16,10.5354,10.5356,10.1683,6227790.0,2579300000.0,5
